UserID,Doctor Reviewed,PromptID,XML,Valid Prompt,Accept Label,Accept Reasoning,Outcome,Intervention,Comparator
lehmer16,Annotator 1,2,3298351,True,True,True,venous ulcer healing,four-layer bandage,compression stocking
lehmer16,Edin,2,3298351,True,True,True,venous ulcer healing,four-layer bandage,compression stocking
lehmer16,Milorad,2,3298351,True,True,True,venous ulcer healing,four-layer bandage,compression stocking
lehmer16,Lidija,2,3298351,True,True,True,venous ulcer healing,four-layer bandage,compression stocking
lehmer16,Annotator 1,3,3298351,True,True,True,venous ulcer healing,compression therapy,no treatment
lehmer16,Edin,3,3298351,True,True,True,venous ulcer healing,compression therapy,no treatment
lehmer16,Milorad,3,3298351,True,True,True,venous ulcer healing,compression therapy,no treatment
lehmer16,Lidija,3,3298351,True,False,False,venous ulcer healing,compression therapy,no treatment
lehmer16,Annotator 1,4,3298351,True,True,True,venous ulcer healing,four-layer bandage,two-layer bandage
lehmer16,Edin,4,3298351,True,True,True,venous ulcer healing,four-layer bandage,two-layer bandage
lehmer16,Milorad,4,3298351,True,True,True,venous ulcer healing,four-layer bandage,two-layer bandage
lehmer16,Lidija,4,3298351,True,True,True,venous ulcer healing,four-layer bandage,two-layer bandage
lehmer16,Annotator 1,5,3298351,True,True,True,CEAP scores,four-layer bandage,two-layer bandage
lehmer16,Edin,5,3298351,True,True,True,CEAP scores,four-layer bandage,two-layer bandage
lehmer16,Milorad,5,3298351,True,True,True,CEAP scores,four-layer bandage,two-layer bandage
lehmer16,Lidija,5,3298351,True,False,False,CEAP scores,four-layer bandage,two-layer bandage
lehmer16,Annotator 1,6,3298351,True,True,True,CEAP scores,four-layer bandage,compression stocking
lehmer16,Edin,6,3298351,True,True,True,CEAP scores,four-layer bandage,compression stocking
lehmer16,Milorad,6,3298351,True,True,True,CEAP scores,four-layer bandage,compression stocking
lehmer16,Lidija,6,3298351,True,True,True,CEAP scores,four-layer bandage,compression stocking
lehmer16,Annotator 1,7,3298351,True,True,True,CEAP scores,two-layer bandage,compression stocking
lehmer16,Edin,7,3298351,True,True,True,CEAP scores,two-layer bandage,compression stocking
lehmer16,Milorad,7,3298351,True,True,True,CEAP scores,two-layer bandage,compression stocking
lehmer16,Lidija,7,3298351,True,True,True,CEAP scores,two-layer bandage,compression stocking
lehmer16,Annotator 1,8,3298351,True,True,True,venous ulcer healing,ProGuide system,Profore compression
lehmer16,Edin,8,3298351,True,True,True,venous ulcer healing,ProGuide system,Profore compression
lehmer16,Milorad,8,3298351,True,True,True,venous ulcer healing,ProGuide system,Profore compression
lehmer16,Lidija,8,3298351,True,True,True,venous ulcer healing,ProGuide system,Profore compression
lehmer16,Annotator 1,9,3298351,True,True,True,faster healing dynamics,layer compression,Compression stocking
lehmer16,Edin,9,3298351,True,True,True,faster healing dynamics,layer compression,Compression stocking
lehmer16,Milorad,9,3298351,True,True,True,faster healing dynamics,layer compression,Compression stocking
lehmer16,Lidija,9,3298351,True,True,True,faster healing dynamics,layer compression,Compression stocking
lehmer16,Annotator 1,10,3298351,True,True,True,higher percentage of healed area,layer compression,Compression stocking
lehmer16,Edin,10,3298351,True,False,False,higher percentage of healed area,layer compression,Compression stocking
lehmer16,Milorad,10,3298351,True,True,True,higher percentage of healed area,layer compression,Compression stocking
lehmer16,Lidija,10,3298351,True,False,False,higher percentage of healed area,layer compression,Compression stocking
lehmer16,Annotator 1,11,2366143,True,True,True,interval to delivery,tocolysis,antibiotic therapy and tocolysis
lehmer16,Edin,11,2366143,True,True,True,interval to delivery,tocolysis,antibiotic therapy and tocolysis
lehmer16,Milorad,11,2366143,True,True,True,interval to delivery,tocolysis,antibiotic therapy and tocolysis
lehmer16,Lidija,11,2366143,True,True,True,interval to delivery,tocolysis,antibiotic therapy and tocolysis
lehmer16,Annotator 1,12,2366143,True,True,True,birth weight,tocolysis,antibiotic therapy and tocolysis
lehmer16,Edin,12,2366143,True,True,True,birth weight,tocolysis,antibiotic therapy and tocolysis
lehmer16,Milorad,12,2366143,True,True,True,birth weight,tocolysis,antibiotic therapy and tocolysis
lehmer16,Lidija,12,2366143,True,True,True,birth weight,tocolysis,antibiotic therapy and tocolysis
lehmer16,Annotator 1,13,2366143,True,True,True,neonatal outcomes,tocolysis,antibiotic therapy and tocolysis
lehmer16,Edin,13,2366143,True,True,True,neonatal outcomes,tocolysis,antibiotic therapy and tocolysis
lehmer16,Milorad,13,2366143,True,True,True,neonatal outcomes,tocolysis,antibiotic therapy and tocolysis
lehmer16,Lidija,13,2366143,True,True,True,neonatal outcomes,tocolysis,antibiotic therapy and tocolysis
lehmer16,Annotator 1,14,2366143,True,True,True,infection,antibiotic therapy,placebo
lehmer16,Edin,14,2366143,True,True,True,infection,antibiotic therapy,placebo
lehmer16,Milorad,14,2366143,True,True,True,infection,antibiotic therapy,placebo
lehmer16,Lidija,14,2366143,True,True,True,infection,antibiotic therapy,placebo
lehmer16,Annotator 1,15,2366143,True,True,True,gestational age,antibiotic therapy,placebo
lehmer16,Edin,15,2366143,True,True,True,gestational age,antibiotic therapy,placebo
lehmer16,Milorad,15,2366143,True,True,True,gestational age,antibiotic therapy,placebo
lehmer16,Lidija,15,2366143,True,True,True,gestational age,antibiotic therapy,placebo
lehmer16,Annotator 1,16,2366143,True,True,True,frequency of contractions,antibiotic therapy,placebo
lehmer16,Edin,16,2366143,True,True,True,frequency of contractions,antibiotic therapy,placebo
lehmer16,Milorad,16,2366143,True,False,False,frequency of contractions,antibiotic therapy,placebo
lehmer16,Lidija,16,2366143,True,False,False,frequency of contractions,antibiotic therapy,placebo
lehmer16,Annotator 1,17,2366143,False,False,False,cervical Bishop's score,antibiotic therapy,placebo
lehmer16,Edin,17,2366143,False,False,False,cervical Bishop's score,antibiotic therapy,placebo
lehmer16,Milorad,17,2366143,False,False,False,cervical Bishop's score,antibiotic therapy,placebo
lehmer16,Lidija,17,2366143,False,False,False,cervical Bishop's score,antibiotic therapy,placebo
lehmer16,Annotator 1,18,2366143,False,False,False,white blood cell count,antibiotic therapy,placebo
lehmer16,Edin,18,2366143,False,False,False,white blood cell count,antibiotic therapy,placebo
lehmer16,Milorad,18,2366143,False,False,False,white blood cell count,antibiotic therapy,placebo
lehmer16,Lidija,18,2366143,False,False,False,white blood cell count,antibiotic therapy,placebo
lehmer16,Annotator 1,19,3233526,False,False,False,pregnancy,twice weekly single iron tablet,weekly supplements of two iron tablets
lehmer16,Edin,19,3233526,False,False,False,pregnancy,twice weekly single iron tablet,weekly supplements of two iron tablets
lehmer16,Milorad,19,3233526,False,False,False,pregnancy,twice weekly single iron tablet,weekly supplements of two iron tablets
lehmer16,Lidija,19,3233526,False,False,False,pregnancy,twice weekly single iron tablet,weekly supplements of two iron tablets
lehmer16,Annotator 1,20,3233526,True,True,True,pregnancy,weekly supplements of two iron tablets,daily single iron tablets
lehmer16,Edin,20,3233526,True,True,True,pregnancy,weekly supplements of two iron tablets,daily single iron tablets
lehmer16,Milorad,20,3233526,True,True,True,pregnancy,weekly supplements of two iron tablets,daily single iron tablets
lehmer16,Lidija,20,3233526,True,True,True,pregnancy,weekly supplements of two iron tablets,daily single iron tablets
lehmer16,Annotator 1,21,3233526,True,True,True,pregnancy,daily single iron tablets,twice weekly single iron tablet
lehmer16,Edin,21,3233526,True,True,True,pregnancy,daily single iron tablets,twice weekly single iron tablet
lehmer16,Milorad,21,3233526,True,True,True,pregnancy,daily single iron tablets,twice weekly single iron tablet
lehmer16,Lidija,21,3233526,True,True,True,pregnancy,daily single iron tablets,twice weekly single iron tablet
lehmer16,Annotator 1,22,3233526,True,True,True,birth outcome,twice weekly single iron tablet,weekly supplements of two iron tablets
lehmer16,Edin,22,3233526,True,True,True,birth outcome,twice weekly single iron tablet,weekly supplements of two iron tablets
lehmer16,Milorad,22,3233526,True,True,True,birth outcome,twice weekly single iron tablet,weekly supplements of two iron tablets
lehmer16,Lidija,22,3233526,True,True,True,birth outcome,twice weekly single iron tablet,weekly supplements of two iron tablets
lehmer16,Annotator 1,23,3233526,True,True,True,birth outcome,weekly supplements of two iron tablets,daily single iron tablets
lehmer16,Edin,23,3233526,True,True,True,birth outcome,weekly supplements of two iron tablets,daily single iron tablets
lehmer16,Milorad,23,3233526,True,True,True,birth outcome,weekly supplements of two iron tablets,daily single iron tablets
lehmer16,Lidija,23,3233526,True,True,True,birth outcome,weekly supplements of two iron tablets,daily single iron tablets
lehmer16,Annotator 1,24,3233526,True,True,True,birth outcome,daily single iron tablets,twice weekly single iron tablet
lehmer16,Edin,24,3233526,True,True,True,birth outcome,daily single iron tablets,twice weekly single iron tablet
lehmer16,Milorad,24,3233526,True,True,True,birth outcome,daily single iron tablets,twice weekly single iron tablet
lehmer16,Lidija,24,3233526,True,True,True,birth outcome,daily single iron tablets,twice weekly single iron tablet
lehmer16,Annotator 1,25,3233526,True,True,True,side effects,weekly supplements of two iron tablets,no treatment
lehmer16,Edin,25,3233526,True,True,True,side effects,weekly supplements of two iron tablets,no treatment
lehmer16,Milorad,25,3233526,True,True,True,side effects,weekly supplements of two iron tablets,no treatment
lehmer16,Lidija,25,3233526,True,True,True,side effects,weekly supplements of two iron tablets,no treatment
lehmer16,Annotator 1,26,3233526,True,True,True,side effects,daily single iron tablets,no treatment
lehmer16,Edin,26,3233526,True,True,True,side effects,daily single iron tablets,no treatment
lehmer16,Milorad,26,3233526,True,True,True,side effects,daily single iron tablets,no treatment
lehmer16,Lidija,26,3233526,True,True,True,side effects,daily single iron tablets,no treatment
lehmer16,Annotator 1,27,3233526,True,True,True,side effects,twice weekly single iron tablet,no treatment
lehmer16,Edin,27,3233526,True,True,True,side effects,twice weekly single iron tablet,no treatment
lehmer16,Milorad,27,3233526,True,True,True,side effects,twice weekly single iron tablet,no treatment
lehmer16,Lidija,27,3233526,True,True,True,side effects,twice weekly single iron tablet,no treatment
lehmer16,Annotator 1,28,3233526,True,True,True,hemoglobin levels at week 28,weekly supplements of two iron tablets,no treatment
lehmer16,Edin,28,3233526,True,True,True,hemoglobin levels at week 28,weekly supplements of two iron tablets,no treatment
lehmer16,Milorad,28,3233526,True,False,False,hemoglobin levels at week 28,weekly supplements of two iron tablets,no treatment
lehmer16,Lidija,28,3233526,True,True,True,hemoglobin levels at week 28,weekly supplements of two iron tablets,no treatment
lehmer16,Annotator 1,29,3233526,True,True,True,hemoglobin levels at week 28,daily single iron tablets,no treatment
lehmer16,Edin,29,3233526,True,True,True,hemoglobin levels at week 28,daily single iron tablets,no treatment
lehmer16,Milorad,29,3233526,True,False,False,hemoglobin levels at week 28,daily single iron tablets,no treatment
lehmer16,Lidija,29,3233526,True,False,False,hemoglobin levels at week 28,daily single iron tablets,no treatment
lehmer16,Annotator 1,30,3233526,True,True,True,hemoglobin levels at week 28,twice weekly single iron tablet,no treatment
lehmer16,Edin,30,3233526,True,True,True,hemoglobin levels at week 28,twice weekly single iron tablet,no treatment
lehmer16,Milorad,30,3233526,True,False,False,hemoglobin levels at week 28,twice weekly single iron tablet,no treatment
lehmer16,Lidija,30,3233526,True,False,False,hemoglobin levels at week 28,twice weekly single iron tablet,no treatment
lehmer16,Annotator 1,31,3233526,True,True,True,hemoglobin levels at week 38,weekly supplements of two iron tablets,twice weekly single iron tablet
lehmer16,Edin,31,3233526,True,False,False,hemoglobin levels at week 38,weekly supplements of two iron tablets,twice weekly single iron tablet
lehmer16,Milorad,31,3233526,True,False,False,hemoglobin levels at week 38,weekly supplements of two iron tablets,twice weekly single iron tablet
lehmer16,Lidija,31,3233526,True,False,False,hemoglobin levels at week 38,weekly supplements of two iron tablets,twice weekly single iron tablet
lehmer16,Annotator 1,32,3233526,False,False,False,hemoglobin levels at week 38,daily single iron tablets,twice weekly single iron tablet
lehmer16,Edin,32,3233526,False,False,False,hemoglobin levels at week 38,daily single iron tablets,twice weekly single iron tablet
lehmer16,Milorad,32,3233526,False,False,False,hemoglobin levels at week 38,daily single iron tablets,twice weekly single iron tablet
lehmer16,Lidija,32,3233526,False,False,False,hemoglobin levels at week 38,daily single iron tablets,twice weekly single iron tablet
lehmer16,Annotator 1,33,3233526,True,True,True,ferritin levels at week 28,daily single iron tablets,weekly supplements of two iron tablets
lehmer16,Edin,33,3233526,True,True,True,ferritin levels at week 28,daily single iron tablets,weekly supplements of two iron tablets
lehmer16,Milorad,33,3233526,True,True,True,ferritin levels at week 28,daily single iron tablets,weekly supplements of two iron tablets
lehmer16,Lidija,33,3233526,True,True,True,ferritin levels at week 28,daily single iron tablets,weekly supplements of two iron tablets
lehmer16,Annotator 1,34,3233526,True,True,True,ferritin levels at week 28,daily single iron tablets,twice weekly single iron tablet
lehmer16,Edin,34,3233526,True,True,True,ferritin levels at week 28,daily single iron tablets,twice weekly single iron tablet
lehmer16,Milorad,34,3233526,True,True,True,ferritin levels at week 28,daily single iron tablets,twice weekly single iron tablet
lehmer16,Lidija,34,3233526,True,True,True,ferritin levels at week 28,daily single iron tablets,twice weekly single iron tablet
lehmer16,Annotator 1,35,3233526,True,True,True,ferritin levels at week 38,weekly supplements of two iron tablets,twice weekly single iron tablet
lehmer16,Edin,35,3233526,True,True,True,ferritin levels at week 38,weekly supplements of two iron tablets,twice weekly single iron tablet
lehmer16,Milorad,35,3233526,True,True,True,ferritin levels at week 38,weekly supplements of two iron tablets,twice weekly single iron tablet
lehmer16,Lidija,35,3233526,True,True,True,ferritin levels at week 38,weekly supplements of two iron tablets,twice weekly single iron tablet
lehmer16,Annotator 1,36,3233526,True,True,True,ferritin levels at week 38,weekly supplements of two iron tablets,daily single iron tablets
lehmer16,Edin,36,3233526,True,True,True,ferritin levels at week 38,weekly supplements of two iron tablets,daily single iron tablets
lehmer16,Milorad,36,3233526,True,True,True,ferritin levels at week 38,weekly supplements of two iron tablets,daily single iron tablets
lehmer16,Lidija,36,3233526,True,True,True,ferritin levels at week 38,weekly supplements of two iron tablets,daily single iron tablets
lehmer16,Annotator 1,37,3233526,True,True,True,ferritin levels at week 38,daily single iron tablets,twice weekly single iron tablet
lehmer16,Edin,37,3233526,True,True,True,ferritin levels at week 38,daily single iron tablets,twice weekly single iron tablet
lehmer16,Milorad,37,3233526,True,True,True,ferritin levels at week 38,daily single iron tablets,twice weekly single iron tablet
lehmer16,Lidija,37,3233526,True,True,True,ferritin levels at week 38,daily single iron tablets,twice weekly single iron tablet
lehmer16,Annotator 1,38,2674549,True,True,True,symptoms of RA,golimumab and methotrexate,methotrexate
lehmer16,Edin,38,2674549,True,True,True,symptoms of RA,golimumab and methotrexate,methotrexate
lehmer16,Milorad,38,2674549,True,True,True,symptoms of RA,golimumab and methotrexate,methotrexate
lehmer16,Lidija,38,2674549,True,True,True,symptoms of RA,golimumab and methotrexate,methotrexate
lehmer16,Annotator 1,39,2674549,True,True,True,physical function,golimumab and methotrexate,methotrexate
lehmer16,Edin,39,2674549,True,True,True,physical function,golimumab and methotrexate,methotrexate
lehmer16,Milorad,39,2674549,True,True,True,physical function,golimumab and methotrexate,methotrexate
lehmer16,Lidija,39,2674549,True,True,True,physical function,golimumab and methotrexate,methotrexate
lehmer16,Annotator 1,40,2674549,True,True,True,ACR20 ,placebo and methotrexate,Golimumab 100 mg and placebo
lehmer16,Edin,40,2674549,True,True,True,ACR20 ,placebo and methotrexate,Golimumab 100 mg and placebo
lehmer16,Milorad,40,2674549,True,True,True,ACR20 ,placebo and methotrexate,Golimumab 100 mg and placebo
lehmer16,Lidija,40,2674549,True,True,True,ACR20 ,placebo and methotrexate,Golimumab 100 mg and placebo
lehmer16,Annotator 1,41,2674549,True,True,True,Median HAQ-DI score,placebo and methotrexate,Golimumab 100 mg and placebo
lehmer16,Edin,41,2674549,True,True,True,Median HAQ-DI score,placebo and methotrexate,Golimumab 100 mg and placebo
lehmer16,Milorad,41,2674549,True,True,True,Median HAQ-DI score,placebo and methotrexate,Golimumab 100 mg and placebo
lehmer16,Lidija,41,2674549,True,True,True,Median HAQ-DI score,placebo and methotrexate,Golimumab 100 mg and placebo
lehmer16,Annotator 1,42,2674549,True,True,True,HAQ-DI score,50mg of Golimumab and methotrexate,placebo and methotrexate
lehmer16,Edin,42,2674549,True,True,True,HAQ-DI score,50mg of Golimumab and methotrexate,placebo and methotrexate
lehmer16,Milorad,42,2674549,True,True,True,HAQ-DI score,50mg of Golimumab and methotrexate,placebo and methotrexate
lehmer16,Lidija,42,2674549,True,True,True,HAQ-DI score,50mg of Golimumab and methotrexate,placebo and methotrexate
lehmer16,Annotator 1,43,2674549,True,True,True,HAQ-DI score,100mg of Golimumab and methotrexate,placebo and methotrexate
lehmer16,Edin,43,2674549,True,True,True,HAQ-DI score,100mg of Golimumab and methotrexate,placebo and methotrexate
lehmer16,Milorad,43,2674549,True,True,True,HAQ-DI score,100mg of Golimumab and methotrexate,placebo and methotrexate
lehmer16,Lidija,43,2674549,True,True,True,HAQ-DI score,100mg of Golimumab and methotrexate,placebo and methotrexate
lehmer16,Annotator 1,44,2674549,True,True,True,serious adverse events,100mg of Golimumab and methotrexate,placebo and methotrexate
lehmer16,Edin,44,2674549,True,False,False,serious adverse events,100mg of Golimumab and methotrexate,placebo and methotrexate
lehmer16,Milorad,44,2674549,True,False,False,serious adverse events,100mg of Golimumab and methotrexate,placebo and methotrexate
lehmer16,Lidija,44,2674549,True,True,True,serious adverse events,100mg of Golimumab and methotrexate,placebo and methotrexate
lehmer16,Annotator 1,45,2674549,True,True,True,serious adverse events,100mg of Golimumab and methotrexate,Golimumab 100 mg and placebo
lehmer16,Edin,45,2674549,True,False,False,serious adverse events,100mg of Golimumab and methotrexate,Golimumab 100 mg and placebo
lehmer16,Milorad,45,2674549,True,False,False,serious adverse events,100mg of Golimumab and methotrexate,Golimumab 100 mg and placebo
lehmer16,Lidija,45,2674549,True,True,True,serious adverse events,100mg of Golimumab and methotrexate,Golimumab 100 mg and placebo
lehmer16,Annotator 1,46,2674549,True,True,True,serious adverse events,100mg of Golimumab and methotrexate,50mg of Golimumab and methotrexate
lehmer16,Edin,46,2674549,True,False,False,serious adverse events,100mg of Golimumab and methotrexate,50mg of Golimumab and methotrexate
lehmer16,Milorad,46,2674549,True,False,False,serious adverse events,100mg of Golimumab and methotrexate,50mg of Golimumab and methotrexate
lehmer16,Lidija,46,2674549,True,False,False,serious adverse events,100mg of Golimumab and methotrexate,50mg of Golimumab and methotrexate
lehmer16,Annotator 1,47,524504,True,True,True,induction-delivery interval,misoprostol,dinoprostone
lehmer16,Edin,47,524504,True,True,True,induction-delivery interval,misoprostol,dinoprostone
lehmer16,Milorad,47,524504,True,True,True,induction-delivery interval,misoprostol,dinoprostone
lehmer16,Lidija,47,524504,True,True,True,induction-delivery interval,misoprostol,dinoprostone
